/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 4513 at position 193 (collision #252)
🌟 COLLISION! Prime 4517 at position 197 (collision #253)
🌟 COLLISION! Prime 4519 at position 199 (collision #254)
🌟 COLLISION! Prime 4523 at position 203 (collision #255)
🌟 COLLISION! Prime 4547 at position 227 (collision #256)
🌟 COLLISION! Prime 4549 at position 229 (collision #257)
🌟 COLLISION! Prime 4561 at position 241 (collision #258)
🌟 COLLISION! Prime 4567 at position 247 (collision #259)
🌟 COLLISION! Prime 4583 at position 263 (collision #260)
🌟 COLLISION! Prime 4591 at position 271 (collision #261)
🌟 COLLISION! Prime 4597 at position 277 (collision #262)
🌟 COLLISION! Prime 4603 at position 283 (collision #263)
🌟 COLLISION! Prime 4621 at position 301 (collision #264)
🌟 COLLISION! Prime 4637 at position 317 (collision #265)
🌟 COLLISION! Prime 4639 at position 319 (collision #266)
🌟 COLLISION! Prime 4643 at position 323 (collision #267)
🌟 COLLISION! Prime 4649 at position 329 (collision #268)
🌟 COLLISION! Prime 4651 at position 331 (collision #269)
🌟 COLLISION! Prime 4657 at position 337 (collision #270)
🌟 COLLISION! Prime 4663 at position 343 (collision #271)
🌟 COLLISION! Prime 4673 at position 353 (collision #272)
🌟 COLLISION! Prime 4679 at position 359 (collision #273)
🌟 COLLISION! Prime 4691 at position 11 (collision #274)
🌟 COLLISION! Prime 4703 at position 23 (collision #275)
🌟 COLLISION! Prime 4721 at position 41 (collision #276)
🌟 COLLISION! Prime 4723 at position 43 (collision #277)
🌟 COLLISION! Prime 4733 at position 53 (collision #278)
🌟 COLLISION! Prime 4751 at position 71 (collision #279)
🌟 COLLISION! Prime 4759 at position 79 (collision #280)
🌟 COLLISION! Prime 4783 at position 103 (collision #281)
🌟 COLLISION! Prime 4787 at position 107 (collision #282)
🌟 COLLISION! Prime 4789 at position 109 (collision #283)
🌟 COLLISION! Prime 4793 at position 113 (collision #284)
🌟 COLLISION! Prime 4799 at position 119 (collision #285)
🌟 COLLISION! Prime 4801 at position 121 (collision #286)
🌟 COLLISION! Prime 4813 at position 133 (collision #287)
🌟 COLLISION! Prime 4817 at position 137 (collision #288)
🌟 COLLISION! Prime 4831 at position 151 (collision #289)
🌟 COLLISION! Prime 4861 at position 181 (collision #290)
🌟 COLLISION! Prime 4871 at position 191 (collision #291)
🌟 COLLISION! Prime 4877 at position 197 (collision #292)
🌟 COLLISION! Prime 4889 at position 209 (collision #293)
🌟 COLLISION! Prime 4903 at position 223 (collision #294)
🌟 COLLISION! Prime 4909 at position 229 (collision #295)
🌟 COLLISION! Prime 4919 at position 239 (collision #296)
🌟 COLLISION! Prime 4931 at position 251 (collision #297)
🌟 COLLISION! Prime 4933 at position 253 (collision #298)
🌟 COLLISION! Prime 4937 at position 257 (collision #299)
🌟 COLLISION! Prime 4943 at position 263 (collision #300)
🌟 COLLISION! Prime 4951 at position 271 (collision #301)
🌟 COLLISION! Prime 4957 at position 277 (collision #302)
🌟 COLLISION! Prime 4967 at position 287 (collision #303)
🌟 COLLISION! Prime 4969 at position 289 (collision #304)
🌟 COLLISION! Prime 4973 at position 293 (collision #305)
🌟 COLLISION! Prime 4987 at position 307 (collision #306)
🌟 COLLISION! Prime 4993 at position 313 (collision #307)
🌟 COLLISION! Prime 4999 at position 319 (collision #308)
🌟 COLLISION! Prime 5003 at position 323 (collision #309)
🌟 COLLISION! Prime 5009 at position 329 (collision #310)
🌟 COLLISION! Prime 5011 at position 331 (collision #311)
🌟 COLLISION! Prime 5021 at position 341 (collision #312)
🌟 COLLISION! Prime 5023 at position 343 (collision #313)
🌟 COLLISION! Prime 5039 at position 359 (collision #314)
🌟 COLLISION! Prime 5051 at position 11 (collision #315)
🌟 COLLISION! Prime 5059 at position 19 (collision #316)
🌟 COLLISION! Prime 5077 at position 37 (collision #317)
🌟 COLLISION! Prime 5081 at position 41 (collision #318)
🌟 COLLISION! Prime 5087 at position 47 (collision #319)
🌟 COLLISION! Prime 5099 at position 59 (collision #320)
🌟 COLLISION! Prime 5101 at position 61 (collision #321)
🌟 COLLISION! Prime 5107 at position 67 (collision #322)
🌟 COLLISION! Prime 5113 at position 73 (collision #323)
🌟 COLLISION! Prime 5119 at position 79 (collision #324)
🌟 COLLISION! Prime 5147 at position 107 (collision #325)
🌟 COLLISION! Prime 5153 at position 113 (collision #326)
🌟 COLLISION! Prime 5167 at position 127 (collision #327)
🌟 COLLISION! Prime 5171 at position 131 (collision #328)
🌟 COLLISION! Prime 5179 at position 139 (collision #329)
🌟 COLLISION! Prime 5189 at position 149 (collision #330)
🌟 COLLISION! Prime 5197 at position 157 (collision #331)
🌟 COLLISION! Prime 5209 at position 169 (collision #332)
🌟 COLLISION! Prime 5227 at position 187 (collision #333)
🌟 COLLISION! Prime 5231 at position 191 (collision #334)
🌟 COLLISION! Prime 5233 at position 193 (collision #335)
🌟 COLLISION! Prime 5237 at position 197 (collision #336)
🌟 COLLISION! Prime 5261 at position 221 (collision #337)
🌟 COLLISION! Prime 5273 at position 233 (collision #338)
🌟 COLLISION! Prime 5279 at position 239 (collision #339)
🌟 COLLISION! Prime 5281 at position 241 (collision #340)
🌟 COLLISION! Prime 5297 at position 257 (collision #341)
🌟 COLLISION! Prime 5303 at position 263 (collision #342)
🌟 COLLISION! Prime 5309 at position 269 (collision #343)
🌟 COLLISION! Prime 5323 at position 283 (collision #344)
🌟 COLLISION! Prime 5333 at position 293 (collision #345)
🌟 COLLISION! Prime 5347 at position 307 (collision #346)
🌟 COLLISION! Prime 5351 at position 311 (collision #347)
🌟 COLLISION! Prime 5381 at position 341 (collision #348)
🌟 COLLISION! Prime 5387 at position 347 (collision #349)
🌟 COLLISION! Prime 5393 at position 353 (collision #350)
🌟 COLLISION! Prime 5399 at position 359 (collision #351)
🌟 COLLISION! Prime 5407 at position 7 (collision #352)
🌟 COLLISION! Prime 5413 at position 13 (collision #353)
🌟 COLLISION! Prime 5417 at position 17 (collision #354)
🌟 COLLISION! Prime 5419 at position 19 (collision #355)
🌟 COLLISION! Prime 5431 at position 31 (collision #356)
🌟 COLLISION! Prime 5437 at position 37 (collision #357)
🌟 COLLISION! Prime 5441 at position 41 (collision #358)
🌟 COLLISION! Prime 5443 at position 43 (collision #359)
🌟 COLLISION! Prime 5449 at position 49 (collision #360)
🌟 COLLISION! Prime 5471 at position 71 (collision #361)
🌟 COLLISION! Prime 5477 at position 77 (collision #362)
🌟 COLLISION! Prime 5479 at position 79 (collision #363)
🌟 COLLISION! Prime 5483 at position 83 (collision #364)
🌟 COLLISION! Prime 5501 at position 101 (collision #365)
🌟 COLLISION! Prime 5503 at position 103 (collision #366)
🌟 COLLISION! Prime 5507 at position 107 (collision #367)
🌟 COLLISION! Prime 5519 at position 119 (collision #368)
🌟 COLLISION! Prime 5521 at position 121 (collision #369)
🌟 COLLISION! Prime 5527 at position 127 (collision #370)
🌟 COLLISION! Prime 5531 at position 131 (collision #371)
🌟 COLLISION! Prime 5557 at position 157 (collision #372)
🌟 COLLISION! Prime 5563 at position 163 (collision #373)
🌟 COLLISION! Prime 5569 at position 169 (collision #374)
🌟 COLLISION! Prime 5573 at position 173 (collision #375)
🌟 COLLISION! Prime 5581 at position 181 (collision #376)
🌟 COLLISION! Prime 5591 at position 191 (collision #377)
🌟 COLLISION! Prime 5623 at position 223 (collision #378)
🌟 COLLISION! Prime 5639 at position 239 (collision #379)
🌟 COLLISION! Prime 5641 at position 241 (collision #380)
🌟 COLLISION! Prime 5647 at position 247 (collision #381)
🌟 COLLISION! Prime 5651 at position 251 (collision #382)
🌟 COLLISION! Prime 5653 at position 253 (collision #383)
🌟 COLLISION! Prime 5657 at position 257 (collision #384)
🌟 COLLISION! Prime 5659 at position 259 (collision #385)
🌟 COLLISION! Prime 5669 at position 269 (collision #386)
🌟 COLLISION! Prime 5683 at position 283 (collision #387)
🌟 COLLISION! Prime 5689 at position 289 (collision #388)
🌟 COLLISION! Prime 5693 at position 293 (collision #389)
🌟 COLLISION! Prime 5701 at position 301 (collision #390)
🌟 COLLISION! Prime 5711 at position 311 (collision #391)
🌟 COLLISION! Prime 5717 at position 317 (collision #392)
🌟 COLLISION! Prime 5737 at position 337 (collision #393)
🌟 COLLISION! Prime 5741 at position 341 (collision #394)
🌟 COLLISION! Prime 5743 at position 343 (collision #395)
🌟 COLLISION! Prime 5749 at position 349 (collision #396)
🌟 COLLISION! Prime 5779 at position 19 (collision #397)
